Round,Date,Stadium,Venue,Team_1,Team_2,Group,Result
1,"16-Oct-2022	",Kardinia Park,Geelong,"Sri Lanka 	",Namibia,,
1,"16-Oct-2022	",Kardinia Park,Geelong,UAE,Netherlands,,
1,"17-Oct-2022	","Bellerive Oval	",Hobart,West Indies,Scotland,,
1,"17-Oct-2022	","Bellerive Oval	",Hobart,Zimbabwe,Ireland,,
1,"18-Oct-2022	",Kardinia Park,Geelong,Namibia,Netherlands,,
1,"18-Oct-2022	",Kardinia Park,Geelong,Sri Lanka,UAE,,
1,"19-Oct-2022	","Bellerive Oval	",Hobart,"Scotland	",Ireland,,
1,"19-Oct-2022	","Bellerive Oval	",Hobart,West Indies,Zimbabwe,,
1,"20-Oct-2022	",Kardinia Park,Geelong,Sri Lanka,Netherlands,,
1,"20-Oct-2022	",Kardinia Park,Geelong,Namibia,UAE,,
1,"21-Oct-2022	","Bellerive Oval	",Hobart,West Indies,"Ireland	",,
1,"21-Oct-2022	","Bellerive Oval	",Hobart,"Scotland	",Zimbabwe,,
Super 12,"22-Oct-2022	","Sydney Cricket Ground	","Sydney	","Australia	",New Zealand,Group 1,
Super 12,"22-Oct-2022	","Perth Stadium	","Burswood	",England,"Afghanistan	",Group 1,
Super 12,"23-Oct-2022	","Bellerive Oval	","Hobart	",Sri Lanka,Ireland,Group 1,
Super 12,"23-Oct-2022	","Melbourne Cricket Ground	","Melbourne	","India	",Pakistan,Group 2,
Super 12,"24-Oct-2022	","Bellerive Oval	","Hobart	",Bangladesh,Netherlands,Group 2,
Super 12,"24-Oct-2022	","Bellerive Oval	","Hobart	",South Africa,Zimbabwe,Group 2,
Super 12,"25-Oct-2022	","Perth Stadium	","Burswood	",Australia,Sri Lanka,Group 1,
Super 12,"26-Oct-2022	","Melbourne Cricket Ground	","Melbourne	",England,Ireland,Group 1,
Super 12,"26-Oct-2022	","Melbourne Cricket Ground	","Melbourne	",New Zealand,"Afghanistan	",Group 1,
Super 12,"27-Oct-2022	","Sydney Cricket Ground	","Sydney	","South Africa	",Bangladesh,Group 2,
Super 12,"27-Oct-2022	","Sydney Cricket Ground	","Sydney	","India	",Netherlands,Group 2,
Super 12,"27-Oct-2022	","Perth Stadium	",Perth,Pakistan,Zimbabwe,Group 2,
Super 12,"28-Oct-2022	","Melbourne Cricket Ground	","Melbourne	",Afghanistan,Ireland,Group 1,
Super 12,"28-Oct-2022	","Melbourne Cricket Ground	","Melbourne	","	England",Australia,Group 1,
Super 12,"29-Oct-2022	","Sydney Cricket ground	","Sydney	",New Zealand,Sri Lanka,Group 1,
Super 12,"30-Oct-2022	","The Gabba	",Brisbane,Bangladesh,Zimbabwe,Group 2,
Super 12,"30-Oct-2022	","Perth Stadium	","Perth	",Pakistan,Netherlands,Group 2,
Super 12,"30-Oct-2022	","Perth Stadium	","Perth	","India	","South Africa	",Group 2,
Super 12,"31-Oct-2022	","The Gabba	","Brisbane	",Australia,Ireland,Group 1,
Super 12,"1-Nov-2022	","The Gabba	","Brisbane	",Afghanistan,Sri Lanka,Group 1,
Super 12,"1-Nov-2022	","The Gabba	","Brisbane	",England,"New Zealand	",Group 1,
Super 12,"2-Nov-2022	","Adelaide Oval	","Adelaide	",Zimbabwe,Netherlands,Group 2,
Super 12,"2-Nov-2022	","Adelaide Oval	","Adelaide	",India,"Bangladesh	",Group 2,
Super 12,"3-Nov-2022	","Sydney Cricket Ground	","Sydney	",Pakistan,"South Africa	",Group 2,
Super 12,"4-Nov-2022	","Adelaide Oval	","Adelaide	",New Zealand,Ireland,Group 1,
Super 12,"4-Nov-2022	","Adelaide Oval	","Adelaide	",Australia,"Afghanistan	",Group 1,
Super 12,"5-Nov-2022	","Sydney Cricket Ground	","Sydney	",England,Sri Lanka,Group 1,
Super 12,"6-Nov-2022	","Adelaide Oval	","Adelaide	",South Africa,Netherlands,Group 2,
Super 12,"6-Nov-2022	","Adelaide Oval	","Adelaide	",Pakistan,"Bangladesh	",Group 2,
Super 12,"6-Nov-2022	","Melbourne Cricket Ground	",Melbourne,India,Zimbabwe,Group 2,
"Semifinal 1	","9-Nov-2022	","Sydney Cricket Ground	",Sydney,To be Announced,To be Announced,,
"Semifinal 2	","10-Nov-2022	","Adelaide Oval	","Adelaide	",To be Announced,To be Announced,,
"Final	","11-Nov-2022	","Melbourne Cricket Ground	",Melbourne,To be Announced,To be Announced,,
